,TOWN_CODE,LOCATION,ABE_DA,AEN_DA,AREA_TA,UN_NA,LASTMOD,POLY_LIST,splitArea
,2101,起大同路2段209號(前),2018.07.10,2018.10.07,10.2,欣南天然氣股份有限公司,2018-11-07T18:44:38.253,"[120.21404173985539, 22.976022061751177]",26.0
,2116,起保東路269號(對面),2018.07.10,2018.08.18,1,台灣電力公司台南區營業處,2019-01-09T14:34:05.750,"[120.30277765156758, 22.996184897098544]",71.0
,2107,起光州路(與)訖郡平路(以南約10M處),2018.07.11,2018.09.10,8.7,台灣電力公司台南區營業處,2019-02-27T13:45:56.477,"[120.16026643703347, 22.98914443939267]",56.0
,2107,起安北路((州平一街路口))訖安北路(北側(同平路口對面)),2018.07.11,2018.10.08,131.5,台灣自來水公司第六區管理處,2018-10-22T09:15:47.277,"[120.15169423805105, 22.99937424773258]",73.0
,2101,起林森路1段363號(前)訖林森路1段341號(前),2018.07.11,2018.09.11,23.8,臺南市政府交通局(永華),2019-02-15T10:57:27.477,"[120.22108214379598, 22.984389569193954]",44.0
,2108,起中正路15巷(口前等),2018.07.11,2018.10.08,36.6,中華電信公司台南營運處第一客網中心四股,2019-01-08T20:43:51.080,"[120.25543233693301, 23.029198021346946]",138.0
,2108,起中正路101巷(口前等),2018.07.11,2018.10.08,37.8,中華電信公司台南營運處第一客網中心四股,2019-01-08T20:37:23.737,"[120.25499451080141, 23.029872126496393]",138.0
,2108,正強街172號(前等),2018.07.11,2018.10.08,21.6,中華電信公司台南營運處第一客網中心四股,2019-01-08T20:16:52.263,"[120.25194134501855, 23.027539462364317]",138.0
,2108,起正強路48號(前等),2018.07.11,2018.10.08,21,中華電信公司台南營運處第一客網中心四股,2019-01-08T20:23:13.630,"[120.25228252951342, 23.02498724214229]",138.0
,2108,起中山南路471巷97-1號(等),2018.07.11,2018.10.08,43.2,中華電信公司台南營運處第一客網中心四股,2019-01-08T20:29:06.960,"[120.25222552339332, 23.024723860468246]",138.0
,2108,正強街184號(前等),2018.07.11,2018.10.08,10.8,中華電信公司台南營運處第一客網中心四股,2019-01-08T20:06:26.103,"[120.25181325853943, 23.028332754235326]",138.0
,2108,正強街200號(前等),2018.07.11,2018.10.08,24.6,中華電信公司台南營運處第一客網中心四股,2019-01-08T19:52:10.660,"[120.25177260080663, 23.028801555967622]",138.0
,2108,起埔聖街(口前等)訖中山路(口前等),2018.07.11,2018.10.08,29.4,中華電信公司台南營運處第一客網中心四股,2019-01-08T19:38:06.480,"[120.25703349086972, 23.02777247312256]",138.0
,2108,國光5街1號,2018.07.11,2018.09.11,4.8,台灣電力公司台南區營業處,2019-02-19T15:07:23.397,"[120.26088894129778, 23.00520445775308]",85.0
,2104,起西門路4段148號(前),2018.07.12,2018.09.09,0.96,養護科一股,2018-10-15T17:02:16.503,"[120.20780939207572, 23.00921898315274]",97.0
,2104,起小北路29號(旁等)訖西門路4段70巷(巷口),2018.07.12,2018.10.09,13.2,中華電信公司台南營運處第二客網中心,2019-01-17T14:06:41.323,"[120.20732092768533, 23.00668884150877]",97.0
,2106,起府安路6段71巷36-1號(對面),2018.07.12,2018.10.12,3,台灣自來水公司台南服務所,2019-01-08T15:16:43.790,"[120.18864831147923, 23.019871179852988]",113.0
,2101,富農街1段40巷21號(旁等),2018.07.12,2018.10.04,0.72,中華電信公司台南營運處第二客網中心,2018-10-08T15:44:47.870,"[120.23496387010368, 22.978524772182297]",28.0
,2106,起安和路6段20巷120弄55號,2018.07.12,2018.10.09,0.72,中華電信公司台南營運處第二客網中心,2018-11-27T10:18:18.050,"[120.21727403100662, 23.07073925436642]",224.0
,2108,起東橋七路372號,2018.07.13,2018.10.10,4,台灣自來水股份有限公司第六區管理處永康服務所,2018-11-19T10:25:15.597,"[120.23539187444257, 23.02489624395967]",136.0
,2108,大橋一街324巷92號,2018.07.13,2018.10.10,0.9,台灣自來水股份有限公司第六區管理處永康服務所,2019-02-21T12:04:57.510,"[120.23399767921053, 23.017590480164827]",118.0
,2108,起東橋一路206號,2018.07.13,2018.10.10,0.9,台灣自來水股份有限公司第六區管理處永康服務所,2019-02-21T12:04:38.343,"[120.23370702127906, 23.019030957783652]",118.0
,2108,起中華二路215巷18-1號(邊),2018.07.13,2018.10.10,3.6,台灣自來水股份有限公司第六區管理處永康服務所,2019-02-22T07:50:16.783,"[120.23686560582783, 23.008020709546898]",100.0
,2108,永二街127號,2018.07.13,2018.10.10,0.9,台灣自來水股份有限公司第六區管理處永康服務所,2019-02-21T11:20:41.450,"[120.25412178498722, 23.018103160004124]",120.0
,2103,起鹽埕路291巷32弄104號(對面),2018.07.13,2018.10.13,10,水利局污水養護工程科,2018-11-30T09:15:36.077,"[120.18741112924107, 22.971532982485268]",23.0
,2103,起新興路418巷5號(對面),2018.07.13,2018.10.13,6,水利局污水養護工程科,2018-11-30T09:17:34.887,"[120.18749287895609, 22.97514960003422]",23.0
,2110,起協興里中山路898巷23號(對面),2018.07.13,2018.10.10,14,台灣自來水股份有限公司第六區管理處新市服務所,2019-03-05T10:39:54.190,"[120.2896895525757, 23.038219996753043]",159.0
,2108,起大灣路436巷98號,2018.07.13,2018.10.10,1.2,台灣自來水股份有限公司第六區管理處永康服務所,2019-02-26T13:30:13.807,"[120.26417888239811, 23.004785345469273]",85.0
,2101,崇明5街34號(前),2018.07.13,2018.08.30,1.2,欣南天然氣股份有限公司,2018-12-20T09:05:39.167,"[120.21686257985002, 22.979904225750023]",44.0
,2108,起永大路2段23號,2018.07.13,2018.09.13,1.44,台灣電力公司台南區營業處,2019-02-20T13:57:39.307,"[120.25995471623132, 23.002205548354635]",84.0
,2101,起東門路2段89號,2018.07.13,2018.09.17,1.2,中華電信公司台南營運處第一客網中心四股,2019-01-18T15:53:42.577,"[120.22116929736947, 22.985997485161523]",44.0
,2109,起信義北路88號,2018.07.13,2018.09.18,1.2,中華電信公司台南營運處第一客網中心四股,2018-11-29T16:32:17.110,"[120.29778079106687, 22.96899078315544]",16.0
,2101,裕農2街121號,2018.07.13,2018.09.17,0.72,中華電信公司台南營運處第一客網中心四股,2018-11-26T10:07:49.367,"[120.23905577235264, 22.98562704593469]",46.0
,2108,正強街330巷20號(旁),2018.07.13,2018.09.17,0.72,中華電信公司台南營運處第一客網中心四股,2018-12-24T21:00:29.550,"[120.25156463284192, 23.033708830701638]",156.0
,2101,起衛國街112巷8號(等)訖衛國街112巷17號(等),2018.07.13,2018.09.17,4.8,中華電信公司台南營運處第一客網中心四股,2018-12-24T08:50:02.923,"[120.22552084879587, 22.98750843025569]",45.0
,2108,起中正路882號,2018.07.13,2018.10.12,29.4,中華電信公司台南營運處第一客網中心四股,2018-11-28T10:09:31.830,"[120.23972492043222, 23.039119763743038]",154.0
,2108,起中正路862號(前等),2018.07.13,2018.10.12,28.2,中華電信公司台南營運處第一客網中心四股,2018-11-28T10:12:50.673,"[120.24005671154104, 23.03881802575324]",154.0
,2108,起東橋2街(口等)訖東橋7路(口等),2018.07.13,2018.09.30,27,中華電信公司台南營運處第一客網中心四股,2018-12-28T13:46:20.260,"[120.23824461820641, 23.01915475736785]",118.0
,2108,起中華二路206巷68弄59號(等)訖中華二路206巷68弄65號(等),2018.07.13,2018.09.25,16.8,中華電信公司台南營運處第一客網中心四股,2018-12-28T14:04:06.667,"[120.23542654765156, 23.010919447358187]",100.0
,2103,公英1街51巷6號及8號,2018.07.14,2018.10.14,2,台灣自來水公司台南服務所,2019-02-01T09:28:53.217,"[120.21360174997147, 22.97031455362586]",26.0
,2102,起府前路1段85巷32號,2018.07.14,2018.10.14,6,台灣自來水公司台南服務所,2019-01-10T18:24:32.800,"[120.20926510553775, 22.98803798749066]",61.0
,2104,起開元路394巷27弄38號,2018.07.14,2018.09.18,11.4,中華電信公司台南營運處第一客網中心四股,2018-12-28T15:35:13.460,"[120.22632301332588, 23.010196126036234]",99.0
,2103,起健康路2段169號(及171號),2018.07.15,2018.10.15,2.4,台灣自來水公司台南服務所,2019-02-01T09:23:18.270,"[120.1930825028243, 22.981457872461977]",42.0
,2103,利南街46號(邊),2018.07.15,2018.10.15,1,台灣自來水公司台南服務所,2019-02-01T09:27:15.040,"[120.18882049517318, 22.9698623493191]",5.0
,2103,慶南街133號(邊),2018.07.15,2018.10.15,1,台灣自來水公司台南服務所,2019-02-01T09:16:53.010,"[120.19004535500036, 22.97875509846395]",23.0
,2101,起德昌路196巷(與德昌路轉角2戶),2018.07.15,2018.10.15,2,台灣自來水公司台南服務所,2018-11-03T20:26:13.490,"[120.23774743204346, 22.968267883961822]",10.0
,2103,起中華西路1段103號(東),2018.07.15,2018.09.15,6.8,欣南天然氣股份有限公司,2019-02-21T10:34:48.780,"[120.1851954648278, 22.980116370943943]",41.0
,2103,起金華路2段399巷21號,2018.07.15,2018.10.15,1.2,台灣自來水公司台南服務所,2019-02-01T09:24:52.343,"[120.19107871735555, 22.986830250281315]",41.0
