0,1,2,3,4,5,6,7,8,9,10,11,12,13,hole,splitArea
811,1080800241,2019/08/20 08:15:03,完工通報(至承辦),PC,養護工程科一股,許文耀,路面坑洞,安南區,鋪面,路面坑洞,,長溪路一段406巷61號增設溝蓋,經度:120.206619851868 緯度:23.0416971517816X_97坐標:168691.99 Y_97坐標:2549120.73,0,151.0
825,1080800224,2019/08/19 15:55:36,結案,PC,第一工務大隊,黃富美,路面掏空,安平區,鋪面,路面掏空,,安平區,經度:120.157127722536 緯度:22.9914795888469X_97坐標:163587.65 Y_97坐標:2543587.91,0,56.0
828,1080800221,2019/08/19 15:26:29,結案,PC,第一工務大隊,黃富美,修補變壞,安平區,鋪面,修補變壞,,安平區,經度:120.183332855462 緯度:22.9981893055717X_97坐標:166278.5 Y_97坐標:2544315.75,0,77.0
829,1080800220,2019/08/19 15:14:55,結案,PC,第一工務大隊,黃富美,修補變壞,安平區,鋪面,修補變壞,,安平區,經度:120.16003483475 緯度:23.0032941576838X_97坐標:163893.2 Y_97坐標:2544894.56,0,74.0
830,1080800219,2019/08/19 15:04:28,結案,PC,第一工務大隊,黃富美,修補變壞,安平區,鋪面,修補變壞,,安平區,經度:120.183849536609 緯度:22.9893606182406X_97坐標:166326.03 Y_97坐標:2543337.76,0,59.0
842,1080800200,2019/08/16 23:20:22,結案,PC,第一工務大隊,葉明晉,路面坑洞,東區,鋪面,路面坑洞,,0813大豪雨值班,經度:120.211700666784 緯度:22.9869051042226X_97坐標:169180.07 Y_97坐標:2543050.22,0,44.0
843,1080800199,2019/08/16 23:15:34,結案,PC,第一工務大隊,葉明晉,路面坑洞,中西區,鋪面,路面坑洞,,府前路二段256號(新南橋)掏空等修復工程,經度:120.193254047726 緯度:22.9914775834741X_97坐標:167291.54 Y_97坐標:2543566.86,0,60.0
844,1080800198,2019/08/16 23:10:43,結案,PC,第一工務大隊,葉明晉,路面坑洞,中西區,鋪面,路面坑洞,,西門路二段386號前溝底阻塞高壓清洗等修復工程,經度:120.193463400915 緯度:22.9899270939143X_97坐標:167312.06 Y_97坐標:2543395.04,0,60.0
845,1080800197,2019/08/16 22:56:11,結案,PC,第一工務大隊,葉明晉,路面坑洞,東區,鋪面,路面坑洞,,長榮路三段131號前溝蓋破損等修復工程,經度:120.231324925768 緯度:22.9723878686855X_97坐標:171183.7 Y_97坐標:2541431.91,0,28.0
847,1080800194,2019/08/16 13:56:55,結案,PC,養護工程科一股,許文耀,路面坑洞,安南區,鋪面,路面坑洞,,長溪路二段382號前埋設PVC管增設溝蓋,經度:120.203131405279 緯度:23.0503418942501X_97坐標:168339.68 Y_97坐標:2550080,0,169.0
854,1080800186,2019/08/16 10:08:04,結案,PC,第一工務大隊,吳建中,修補變壞,安南區,鋪面,修補變壞,,開安路50號前標線補繪等四處搶修,經度:120.22330182098 緯度:23.0473085441542X_97坐標:170404.98 Y_97坐標:2549732.97,0,171.0
887,1080800149,2019/08/14 14:06:41,結案,PC,養護工程科一股,許文耀,路面坑洞,南區,鋪面,路面坑洞,,108年度考評路段改善,經度:120.170150592385 緯度:22.9841735547649X_97坐標:164918.26 Y_97坐標:2542771.22,0,39.0
901,1080800133,2019/08/13 10:05:04,結案,PC,第一工務大隊,許均凱,路面破(龜)裂,安南區,鋪面,路面破(龜)裂,,仁安路(智安二街前至海佃路三段口),經度:120.178083902656 緯度:23.0510992537945X_97坐標:165773.25 Y_97坐標:2550178.07,0,166.0
